Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","136","Mauritania","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2876","Fc","Calculated data"
"FBS","Food Balance Sheets","136","Mauritania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","84.96","Fc","Calculated data"
"FBS","Food Balance Sheets","136","Mauritania","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","73.66","Fc","Calculated data"
"FBS","Food Balance Sheets","137","Mauritius","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3065","Fc","Calculated data"
"FBS","Food Balance Sheets","137","Mauritius","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","88.36","Fc","Calculated data"
"FBS","Food Balance Sheets","137","Mauritius","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","92.29","Fc","Calculated data"
"FBS","Food Balance Sheets","143","Morocco","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3403","Fc","Calculated data"
"FBS","Food Balance Sheets","143","Morocco","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","97.93","Fc","Calculated data"
"FBS","Food Balance Sheets","143","Morocco","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","69.37","Fc","Calculated data"
"FBS","Food Balance Sheets","144","Mozambique","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2283","Fc","Calculated data"
"FBS","Food Balance Sheets","144","Mozambique","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","45.7","Fc","Calculated data"
"FBS","Food Balance Sheets","144","Mozambique","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","41.92","Fc","Calculated data"
"FBS","Food Balance Sheets","147","Namibia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2171","Fc","Calculated data"
"FBS","Food Balance Sheets","147","Namibia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.69","Fc","Calculated data"
"FBS","Food Balance Sheets","147","Namibia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","49.21","Fc","Calculated data"
"FBS","Food Balance Sheets","158","Niger","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2547","Fc","Calculated data"
"FBS","Food Balance Sheets","158","Niger","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","80.94","Fc","Calculated data"
"FBS","Food Balance Sheets","158","Niger","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","52.56","Fc","Calculated data"
"FBS","Food Balance Sheets","159","Nigeria","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2700","Fc","Calculated data"
"FBS","Food Balance Sheets","159","Nigeria","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","63.76","Fc","Calculated data"
"FBS","Food Balance Sheets","159","Nigeria","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","56.43","Fc","Calculated data"
"FBS","Food Balance Sheets","184","Rwanda","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2228","Fc","Calculated data"
"FBS","Food Balance Sheets","184","Rwanda","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","56.81","Fc","Calculated data"
"FBS","Food Balance Sheets","184","Rwanda","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","23.77","Fc","Calculated data"
"FBS","Food Balance Sheets","193","Sao Tome and Principe","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2400","Fc","Calculated data"
"FBS","Food Balance Sheets","193","Sao Tome and Principe","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","53.08","Fc","Calculated data"
"FBS","Food Balance Sheets","193","Sao Tome and Principe","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","77.64","Fc","Calculated data"
"FBS","Food Balance Sheets","195","Senegal","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2456","Fc","Calculated data"
"FBS","Food Balance Sheets","195","Senegal","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","58.49","Fc","Calculated data"
"FBS","Food Balance Sheets","195","Senegal","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","71.53","Fc","Calculated data"
"FBS","Food Balance Sheets","197","Sierra Leone","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2404","Fc","Calculated data"
"FBS","Food Balance Sheets","197","Sierra Leone","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","56.13","Fc","Calculated data"
"FBS","Food Balance Sheets","197","Sierra Leone","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","58.84","Fc","Calculated data"
"FBS","Food Balance Sheets","202","South Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3022","Fc","Calculated data"
"FBS","Food Balance Sheets","202","South Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","85.33","Fc","Calculated data"
"FBS","Food Balance Sheets","202","South Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","83.62","Fc","Calculated data"
"FBS","Food Balance Sheets","276","Sudan","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2336","Fc","Calculated data"
"FBS","Food Balance Sheets","276","Sudan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","70.71","Fc","Calculated data"
"FBS","Food Balance Sheets","276","Sudan","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","69.25","Fc","Calculated data"
"FBS","Food Balance Sheets","209","Eswatini","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2329","Fc","Calculated data"
"FBS","Food Balance Sheets","209","Eswatini","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","58.6","Fc","Calculated data"
"FBS","Food Balance Sheets","209","Eswatini","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","46.74","Fc","Calculated data"
"FBS","Food Balance Sheets","217","Togo","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2454","Fc","Calculated data"
"FBS","Food Balance Sheets","217","Togo","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","59.79","Fc","Calculated data"
"FBS","Food Balance Sheets","217","Togo","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","47.59","Fc","Calculated data"
"FBS","Food Balance Sheets","222","Tunisia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3349","Fc","Calculated data"
"FBS","Food Balance Sheets","222","Tunisia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","98.59","Fc","Calculated data"
"FBS","Food Balance Sheets","222","Tunisia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","91.68","Fc","Calculated data"
"FBS","Food Balance Sheets","226","Uganda","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2130","Fc","Calculated data"
"FBS","Food Balance Sheets","226","Uganda","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","52.68","Fc","Calculated data"
"FBS","Food Balance Sheets","226","Uganda","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","46.58","Fc","Calculated data"
"FBS","Food Balance Sheets","215","United Republic of Tanzania","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2208","Fc","Calculated data"
"FBS","Food Balance Sheets","215","United Republic of Tanzania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.8","Fc","Calculated data"
"FBS","Food Balance Sheets","215","United Republic of Tanzania","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","46.14","Fc","Calculated data"
"FBS","Food Balance Sheets","251","Zambia","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","1930","Fc","Calculated data"
"FBS","Food Balance Sheets","251","Zambia","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","55.22","Fc","Calculated data"
"FBS","Food Balance Sheets","251","Zambia","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","42.05","Fc","Calculated data"
"FBS","Food Balance Sheets","181","Zimbabwe","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2110","Fc","Calculated data"
"FBS","Food Balance Sheets","181","Zimbabwe","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","48.35","Fc","Calculated data"
"FBS","Food Balance Sheets","181","Zimbabwe","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.18","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2884","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","81.23","Fc","Calculated data"
"FBS","Food Balance Sheets","5000","World","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","82.76","Fc","Calculated data"
"FBS","Food Balance Sheets","5100","Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2624","Fc","Calculated data"
"FBS","Food Balance Sheets","5100","Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","69.1","Fc","Calculated data"
"FBS","Food Balance Sheets","5100","Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","54.46","Fc","Calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2169","Fc","Calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","56.71","Fc","Calculated data"
"FBS","Food Balance Sheets","5101","Eastern Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","38.37","Fc","Calculated data"
"FBS","Food Balance Sheets","5102","Middle Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2420","Fc","Calculated data"
"FBS","Food Balance Sheets","5102","Middle Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","62.07","Fc","Calculated data"
"FBS","Food Balance Sheets","5102","Middle Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","53.68","Fc","Calculated data"
"FBS","Food Balance Sheets","5103","Northern Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","3228","Fc","Calculated data"
"FBS","Food Balance Sheets","5103","Northern Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","93.87","Fc","Calculated data"
"FBS","Food Balance Sheets","5103","Northern Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","69.42","Fc","Calculated data"
"FBS","Food Balance Sheets","5104","Southern Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2935","Fc","Calculated data"
"FBS","Food Balance Sheets","5104","Southern Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","82.63","Fc","Calculated data"
"FBS","Food Balance Sheets","5104","Southern Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","79.19","Fc","Calculated data"
"FBS","Food Balance Sheets","5105","Western Africa","664","Food supply (kcal/capita/day)","2901","Grand Total","2013","2013","kcal/capita/day","2697","Fc","Calculated data"
"FBS","Food Balance Sheets","5105","Western Africa","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","65.32","Fc","Calculated data"
"FBS","Food Balance Sheets","5105","Western Africa","684","Fat supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","57.09","Fc","Calculated data"
